,category
259,flood
35,none
968,flood
11,none
1215,flood
976,none
923,none
1325,flood
1581,none
721,none
1286,flood
585,none
551,none
1585,none
891,flood
1371,flood
1570,flood
74,none
1228,none
1309,flood
768,none
1514,flood
581,none
1476,flood
1481,flood
180,none
1307,none
1059,flood
399,flood
426,none
178,none
1058,flood
1199,flood
541,none
1577,flood
1549,flood
31,none
130,none
1294,none
571,none
1571,flood
1220,flood
306,none
816,none
534,none
231,flood
1663,none
427,none
1064,flood
271,none
1268,flood
1637,flood
712,none
991,flood
1210,flood
1300,none
1567,none
615,none
1427,flood
996,flood
736,none
1030,none
1017,flood
1563,flood
625,none
1314,flood
1480,flood
1295,none
1323,flood
41,none
1557,flood
1291,none
1478,flood
1108,none
1111,none
556,none
23,none
1591,flood
1662,flood
1631,flood
1143,flood
1638,none
1337,flood
1445,flood
1334,none
737,none
232,flood
1444,flood
1526,flood
1352,flood
17,none
1245,none
154,flood
1264,flood
1133,none
1623,none
1645,none
1343,none
1482,flood
1351,flood
1026,none
1236,flood
610,none
1430,flood
1418,flood
1173,flood
957,flood
1422,flood
729,none
1176,none
133,none
262,flood
744,none
435,none
922,flood
919,flood
793,none
616,none
570,none
465,none
1332,flood
1276,none
1397,flood
1379,flood
1083,none
636,none
1470,flood
56,none
1097,flood
536,none
1488,flood
1168,flood
219,none
553,none
