id,caption,comments_count,like_count,media_type,media_url,permalink,timestamp
18230339023031714,"Pesisir utara Jawa mengalami penurunan permukaan tanah yang luar biasa. Pekalongan menjadi salah satu kota yang mengalami penurunan permukaan tanah dengan signifikan. Bahkan BAPENNAS mencatat Pekalongan bisa mengalami penurunan permukaan tanah mencapai 20 cm setiap tahun.

Tidak hanya Pekalongan, pesisir Utara Bekasi juga mengalami hal yang sama. Rumah, sawah, sekolah rusak parah. Hampir tidak pernah surat dari rendaman air laut.

Sebagai ibukota, DKI Jakarta juga tidak lolos dari ancaman tenggelam. Rumah-rumah di sekitar masjid Luar Batang misalnya, setiap tahun hampir selalu ditinggikan agar tidak terendam dan tenggelam.
.
Siapa aja ini yg rumahnya sering kecelup rob..?? 😷

Inspiration garage
cnnindonesia
bbcindonesia
Dari stuffmap.garage

#pemetaan #geografi #geodesi #planologi #geospasial #infogeospasial #mahasiswageografi #sisteminformasigeografi #geografia #oseanografiindonesia #demak #pekalongan #semarang #bekasi 
#banjirgenangan #banjirpesisir #pesisirindonesia #banjirindonesia #infobanjir #banjir #rob #penurunanmukatanah #penurunanmukaairtanah #dataranbanjir #paparanbanjir #pantura #infopantura #banjirpantura #abrasipantura  #Pekalonganberita",0,17,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/197604463_147413564088785_6861107546920068413_n.mp4?_nc_cat=103&vs=17917951015695794_3194206658&_nc_vs=HBksFQAYJEdHODB4d3ZSWVI5bEVvWUFBRDBsN0ZQMmpEZGZia1lMQUFBRhUAAsgBABUAGCRHSnBxcUF2TWZabGVCamtEQU9vR0NSNmdrNGdWYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbk%2BMWBvYvUPxUCKAJDMywXQEeAAAAAAAAYEmRhc2hfYmFzZWxpbmVfMl92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjY0MC5mZWVkIn0%3D&_nc_ohc=ZX8xVHPty38AX_8IYHt&_nc_ht=video-sea1-1.cdninstagram.com&oh=92fa151d86a2911e6ac48d131b10d84f&oe=60C040C7&_nc_rid=8c884c5357,https://www.instagram.com/p/CPuj78PnHCN/,2021-06-05T05:55:59+0000
17974367998384999,"Blessed Weekend 🙏🏼
•
•
We are a man of focus & commitment on your cars 👨🏻‍💼
Jaminan kualitas terbaik 💎
•
Percayakan kebutuhan auto detailing Anda kepada kami 😊🙏🏼
•
•
For any info: 081999320022
Operational Hours : 08:00 - 17:00
•
•
#nano #nanocoating #detailing #autodetailing #nanoceramiccoating #poles #polesmobil #otomotif #paintprotection #modifikasi #mobil #jakarta #indonesia #peluangusaha #franchise #carwash #premiumcoating #coating #kacafilm #film #photochromic #undergarage #undergarageindonesia #banjir  #fogging #foggingsterilizer #airklinantibacterial",0,9,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/197000076_1071380463268408_1472636333332781122_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=7r7hCGeEcz8AX-Ni1SA&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=3075a7ecdab04ffee566bddd616c80fe&oe=60BFEC7E,https://www.instagram.com/p/CPuhW6mFJex/,2021-06-05T05:32:56+0000
17898271304044702,"Blessed Weekend 🙏🏼
•
•
We are a man of focus & commitment on your cars 👨🏻‍💼
Jaminan kualitas terbaik 💎
•
Percayakan kebutuhan auto detailing Anda kepada kami 😊🙏🏼
•
•
For any info: 081999320022
Operational Hours : 08:00 - 17:00
•
•
#nano #nanocoating #detailing #autodetailing #nanoceramiccoating #poles #polesmobil #otomotif #paintprotection #modifikasi #mobil #jakarta #indonesia #peluangusaha #franchise #carwash #premiumcoating #coating #kacafilm #film #photochromic #undergarage #undergarageindonesia #banjir  #fogging #foggingsterilizer #airklinantibacterial",0,5,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/196474112_300981428239077_667668968268895565_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=q7YHOy-3I2UAX-P559l&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=23ca5b3d2ffa99ca7e29e9566d167d33&oe=60BFAD9C,https://www.instagram.com/p/CPuhThVFRWV/,2021-06-05T05:32:28+0000
17878533194476508,"Blessed Weekend 🙏🏼
•
•
We are a man of focus & commitment on your cars 👨🏻‍💼
Jaminan kualitas terbaik 💎
•
Percayakan kebutuhan auto detailing Anda kepada kami 😊🙏🏼
•
•
For any info: 081999320022
Operational Hours : 08:00 - 17:00
•
•
#nano #nanocoating #detailing #autodetailing #nanoceramiccoating #poles #polesmobil #otomotif #paintprotection #modifikasi #mobil #jakarta #indonesia #peluangusaha #franchise #carwash #premiumcoating #coating #kacafilm #film #photochromic #undergarage #undergarageindonesia #banjir  #fogging #foggingsterilizer #airklinantibacterial",0,4,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/196284421_661774661447987_5515049592527388673_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=R3Xuf-cyZWQAX-vFOoR&_nc_oc=AQm7Kmune9sPgvfOgaRJkKsen3aT7XXabnMRcCc6WPb7-fIxK4V0cIoiT0yhEc1l45Q&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=8451de472f16ea9fdbcd38a0e9637241&oe=60BFA160,https://www.instagram.com/p/CPuhP8FF4k3/,2021-06-05T05:31:59+0000
17917748134697623,"Tag Teman Kamu!
Hari gini masih ga pede sama badan kamu yang ga proporsional? Terlalu kurus dan sering dibilang kerempeng? Aneh ya.. padahal makan udah banyak, minum susu juga udah.. ngemil juga banyak.. tapiii ga gemuk juga?
ㅤㅤㅤ 
Orang tua ku keturunan kurus.. keluarga juga rata2 badannya kecil.. hmm apa faktor keturunan juga yah?? ㅤㅤㅤ 
Cari tau yuk penyebab badan susah gemuk.. dan kami punya solusinya buat kamu nih.. konsultasi sekarang yah ^^ Silakan hub langsung:
wa: http://api.whatsapp.com/send?phone=6283842856660&text=saya+mau+info+order
Atau klik link warna biru di bio kami yah :)
░░░░░░░░░░░░░░░░░░░░░░░░
Semoga Bermanfaat/Menghibur
⚪ ⚪
Support Kami Dengan Cara
♡ Like ➫ Share 💬Comment
⚪
Jangan Lupa Follow
superproteinherbal.05
⚪
✔
#banjir#penyegartimeline#tiktokcantik#puasa#ngabuburit##rrq#evos#ramadan#taraweh#atta#kante#alditaher#indonesia#cantik#superproteinherbal.05",0,0,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/196267325_389009925757040_8810540337885804430_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=k9WTWTMassgAX8vBq06&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=8177ca1500ea3cda9773376d4d78a9fe&oe=60BFCF1F,https://www.instagram.com/p/CPug6BuLb_w/,2021-06-05T05:28:59+0000
17928422719593469,"Tag Teman Kamu!
Hari gini masih ga pede sama badan kamu yang ga proporsional? Terlalu kurus dan sering dibilang kerempeng? Aneh ya.. padahal makan udah banyak, minum susu juga udah.. ngemil juga banyak.. tapiii ga gemuk juga?
ㅤㅤㅤ 
Orang tua ku keturunan kurus.. keluarga juga rata2 badannya kecil.. hmm apa faktor keturunan juga yah?? ㅤㅤㅤ 
Cari tau yuk penyebab badan susah gemuk.. dan kami punya solusinya buat kamu nih.. konsultasi sekarang yah ^^ Silakan hub langsung:
wa: http://api.whatsapp.com/send?phone=6283842856660&text=saya+mau+info+order
Atau klik link warna biru di bio kami yah :)
░░░░░░░░░░░░░░░░░░░░░░░░
Semoga Bermanfaat/Menghibur
⚪ ⚪
Support Kami Dengan Cara
♡ Like ➫ Share 💬Comment
⚪
Jangan Lupa Follow
superproteinherbal.05
⚪
✔
#banjir#penyegartimeline#tiktokcantik#puasa#ngabuburit##rrq#evos#ramadan#taraweh#atta#kante#alditaher#indonesia#cantik#superproteinherbal.05",0,0,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/197742793_1468570766874758_181213342277586209_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=zXfMWXNn6jsAX8Gu2uL&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=88fabd62aa4f861c176e9b6d052c28fa&oe=60C077EE,https://www.instagram.com/p/CPugmoyLaC7/,2021-06-05T05:26:20+0000
17905445224921642,"Tag Teman Kamu!
Hari gini masih ga pede sama badan kamu yang ga proporsional? Terlalu kurus dan sering dibilang kerempeng? Aneh ya.. padahal makan udah banyak, minum susu juga udah.. ngemil juga banyak.. tapiii ga gemuk juga?
ㅤㅤㅤ 
Orang tua ku keturunan kurus.. keluarga juga rata2 badannya kecil.. hmm apa faktor keturunan juga yah?? ㅤㅤㅤ 
Cari tau yuk penyebab badan susah gemuk.. dan kami punya solusinya buat kamu nih.. konsultasi sekarang yah ^^ Silakan hub langsung:
wa: http://api.whatsapp.com/send?phone=6283842856660&text=saya+mau+info+order
Atau klik link warna biru di bio kami yah :)
░░░░░░░░░░░░░░░░░░░░░░░░
Semoga Bermanfaat/Menghibur
⚪ ⚪
Support Kami Dengan Cara
♡ Like ➫ Share 💬Comment
⚪
Jangan Lupa Follow
superproteinherbal.05
⚪
✔
#banjir#penyegartimeline#tiktokcantik#puasa#ngabuburit##rrq#evos#ramadan#taraweh#atta#kante#alditaher#indonesia#cantik#superproteinherbal.05",0,0,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/196789467_147083444128634_3712943967528249432_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=kn9bjd0o1MUAX-zzVAn&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=7d61b7c50b0666a369fc6eb15837c9d9&oe=60C01446,https://www.instagram.com/p/CPugd8HLqSY/,2021-06-05T05:25:09+0000
17869723760442843,"Tag Teman Kamu!
Hari gini masih ga pede sama badan kamu yang ga proporsional? Terlalu kurus dan sering dibilang kerempeng? Aneh ya.. padahal makan udah banyak, minum susu juga udah.. ngemil juga banyak.. tapiii ga gemuk juga?
ㅤㅤㅤ 
Orang tua ku keturunan kurus.. keluarga juga rata2 badannya kecil.. hmm apa faktor keturunan juga yah?? ㅤㅤㅤ 
Cari tau yuk penyebab badan susah gemuk.. dan kami punya solusinya buat kamu nih.. konsultasi sekarang yah ^^ Silakan hub langsung:
wa: http://api.whatsapp.com/send?phone=6283842856660&text=saya+mau+info+order
Atau klik link warna biru di bio kami yah :)
░░░░░░░░░░░░░░░░░░░░░░░░
Semoga Bermanfaat/Menghibur
⚪ ⚪
Support Kami Dengan Cara
♡ Like ➫ Share 💬Comment
⚪
Jangan Lupa Follow
superproteinherbal.05
⚪
✔
#banjir#penyegartimeline#tiktokcantik#puasa#ngabuburit##rrq#evos#ramadan#taraweh#atta#kante#alditaher#indonesia#cantik#superproteinherbal.05",0,0,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/195917895_2875830532681187_4415889878865175918_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=CP3soiRIjqcAX8esrto&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=772a880d235533aef3f22fb51c472386&oe=60BF6250,https://www.instagram.com/p/CPugaW2rxWR/,2021-06-05T05:24:40+0000
17946935254477360,"Tag Teman Kamu!
Hari gini masih ga pede sama badan kamu yang ga proporsional? Terlalu kurus dan sering dibilang kerempeng? Aneh ya.. padahal makan udah banyak, minum susu juga udah.. ngemil juga banyak.. tapiii ga gemuk juga?
ㅤㅤㅤ 
Orang tua ku keturunan kurus.. keluarga juga rata2 badannya kecil.. hmm apa faktor keturunan juga yah?? ㅤㅤㅤ 
Cari tau yuk penyebab badan susah gemuk.. dan kami punya solusinya buat kamu nih.. konsultasi sekarang yah ^^ Silakan hub langsung:
wa: http://api.whatsapp.com/send?phone=6283842856660&text=saya+mau+info+order
Atau klik link warna biru di bio kami yah :)
░░░░░░░░░░░░░░░░░░░░░░░░
Semoga Bermanfaat/Menghibur
⚪ ⚪
Support Kami Dengan Cara
♡ Like ➫ Share 💬Comment
⚪
Jangan Lupa Follow
superproteinherbal.05
⚪
✔
#banjir#penyegartimeline#tiktokcantik#puasa#ngabuburit##rrq#evos#ramadan#taraweh#atta#kante#alditaher#indonesia#cantik#superproteinherbal.05",0,0,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/196509546_766431083998874_4227869221588779961_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=cJcbMG19yt8AX95GiEF&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=bcf98ce810b8334aee709928f37311e6&oe=60BFF7E2,https://www.instagram.com/p/CPugUFGLg9v/,2021-06-05T05:23:48+0000
18086879971271407,"Hujan deras di sebagian besar wilayah Taiwan hari ini menyebabkan beberapa wilayah seperti Taipei merasakan dampak banjir. 
Para pengantar makanan pun berupaya keras menerobos banjir hingga beberapa di antaranya mati mesin.
Tampak beberapa foto wilayah Taipei, khususnya Distrik Xinyi tergenang air cukup tinggi. Menariknya genangan air ini terlihat cukup jernih. Menurut Badan Cuaca Taiwan (CWB) genangan air baru akan surut sekitar pukul 20:00.
Foto: CWB, UDN, Baofei Community
#genanganair #banjir #Taipei #beritataiwan #beritaindonesia",0,0,VIDEO,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/197355671_832887580977949_5573407432207439592_n.mp4?_nc_cat=102&vs=17876942594463835_1868882978&_nc_vs=HBksFQAYJEdKZG93d3NkNjJiQWdmVUNBT2dXUDhtSHVGaE5ia1lMQUFBRhUAAsgBABUAGCRHT0NHc2d1WUNfa0dJdEFCQUlDMkFOWjhlUE16YmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaA1anc0ZmaQBUCKAJDMywXQD8iDEm6XjUYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5mZWVkIn0%3D&_nc_ohc=Ok7Z86BQfLoAX8PsXXM&_nc_ht=video-sea1-1.cdninstagram.com&oh=4efedd306b5a3151555d3ed42ceb7129&oe=60BFB004&_nc_rid=66c8b2adc3,https://www.instagram.com/p/CPugP-eHJJD/,2021-06-05T05:23:32+0000
