,category
1515,flood
1849,none
286,flood
548,none
1843,flood
816,none
229,none
1587,flood
1481,none
13,none
294,flood
1244,none
594,none
744,none
1592,flood
1089,flood
1320,flood
1217,none
952,none
1110,flood
225,none
1748,flood
1148,none
1727,flood
957,flood
10,none
1013,none
1778,flood
1080,flood
177,none
1353,none
983,flood
1781,flood
749,none
1629,flood
1697,flood
235,none
98,none
988,none
925,none
1729,flood
1786,flood
632,none
1806,none
1227,none
924,flood
1190,none
547,none
1099,flood
627,none
1036,flood
1544,flood
1396,none
1280,flood
1782,flood
1160,none
1436,none
791,none
279,flood
1047,flood
35,none
592,none
1406,flood
1331,flood
581,none
1688,flood
1073,flood
1593,none
1166,flood
724,none
1451,flood
68,none
1062,flood
854,none
1393,none
29,none
1826,none
1053,flood
1026,flood
285,flood
1775,flood
239,none
1319,flood
1518,flood
33,none
847,none
1800,flood
1738,flood
1599,flood
999,flood
1017,none
1864,none
1641,flood
1474,flood
696,none
671,none
734,none
1270,none
1662,flood
1056,flood
1191,none
1568,flood
1833,none
280,flood
1580,flood
956,flood
1683,flood
1701,flood
560,none
1388,none
93,none
1129,flood
593,none
1031,none
1471,flood
1574,flood
422,none
740,none
884,none
1126,none
960,flood
760,none
1500,flood
1074,flood
211,none
1377,none
1119,flood
643,none
1310,flood
1435,none
1756,flood
1753,flood
1100,none
61,none
