id,caption,like_count,media_type,media_url,permalink,children
17877184940480054,#water #flood #nature #river #agura #agurariver #asmr #asmrrelax #soundon #sounds #awesome #relax #rocks #boulders #goodday #niceplace,2,VIDEO,https://video-lax3-2.cdninstagram.com/v/t50.2886-16/10000000_145733250910156_4999892790332452380_n.mp4?_nc_cat=111&vs=18146300116167099_952590619&_nc_vs=HBksFQAYJEdJQ1dtQURNQjZjcWk0UUFBQnh1elpJQU1HTkZia1lMQUFBRhUAAsgBABUAGCRHRGotZUF0NldlQU54SlVBQUtEaVR5cnZ6REFOYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbw5p2A47u9PxUCKAJDMywXQD5dsi0OVgQYEmRhc2hfYmFzZWxpbmVfMV92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=idYcT7c_fxwAX80Wohm&_nc_ht=video-lax3-2.cdninstagram.com&oh=f210e63e4c526f9915904ba1e9186bb4&oe=60B2DF69&_nc_rid=e100a5171e,https://www.instagram.com/p/CPT1JQwqZmb/,
17923232128628191,Yay! We finally got some moisture! #flood #springtimeyyc,11,VIDEO,https://video-lax3-1.cdninstagram.com/v/t50.2886-16/189607712_408983803396940_9131259436246051572_n.mp4?_nc_cat=102&vs=18170961346139234_3686403312&_nc_vs=HBksFQAYJEdDQXZUUXRNQTFMMjkzTUJBUFFxWWVrVHdMaF9ia1lMQUFBRhUAAsgBABUAGCRHTjg4WlF0dks0dHJ2R2dBQUFMUDFQaEVnT0ZIYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaE0Y%2Ffjse%2FQBUCKAJDMywXQBTMzMzMzM0YEmRhc2hfYmFzZWxpbmVfMl92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=EBVPMGSnJhIAX_ccxGl&_nc_ht=video-lax3-1.cdninstagram.com&oh=b7a272629c96d824d0e09d0bab3f0581&oe=60B24357&_nc_rid=a6130f43d8,https://www.instagram.com/p/CPT0q04BoK6/,
17885253761266433,"Flipping flooded lay downs with the googanbaits Bandito Bug is almost a guarantee all the time.
•
❗️FOLLOW the_nikotexas for Texas outdoor content❗️
•
#Sunny #Texas #Fishing #PondFishing #Flood #Morning #Passion #TexasRig #FYP #Spring #NewPlaces #WooTungsten  #BankFishing #Bass #LargemouthBass #Spring #Grass #Hungry #Rain #GooganBaits #Expert #Instagram #YouTube #MysteryTackleBox #BaitCaster #TX #Outdoors #FishingDaily #FishingDay #PicOfTheDay",6,IMAGE,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/191646355_470657534220090_8984096393511014317_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=NKBfaaImFvQAX9PPRD8&_nc_ht=scontent-lax3-2.cdninstagram.com&oh=5ffda68b592201a68df3609796307d71&oe=60B23593,https://www.instagram.com/p/CPTzuCUL1hA/,
17867795342510669,"Only 3 weeks of preparation left! 

cycling4climate #climatechange #climateaction #climatechallenge #sealevelrise #highwater #flood #highriver #cycling #cyclinglife #bicyclingnl",5,IMAGE,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/191067191_260126432526628_6798520607401404436_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=Zd0f_4xI3YMAX_x3yxQ&_nc_ht=scontent-lax3-2.cdninstagram.com&oh=f888abcd97666a7b0cbde89ebaff4e65&oe=60B2D6A9,https://www.instagram.com/p/CPTzVolLOTK/,
17916629248699412,"River is too high for a paddle today!

#staffy #staffie #staffordshirebullterrier #bullbreeds #dogs #walk #nature #river #flood #brindlestaffy",3,IMAGE,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/190739943_815679982698919_4972012838682840320_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=Aa3CIgF8aD4AX_wKOwm&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=f360dec51116867bf784a0acf06a5ddf&oe=60B193A9,https://www.instagram.com/p/CPTzCGKgo7l/,
18006960070319514,"Did you know? 😲

Our response team can guarantee to be on site within TWO hours of the initial phone call, within the Greater Toronto Area? 

As an IICRC certified firm, along with our accredited staff, we can work with your insurance provider in the event of an emergency.

Tap the link in our bio to learn more about Impact Restore today.",7,IMAGE,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/190921254_474665937097691_9215435277549465745_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=GPNfNzbx7FoAX9n_pFw&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=d6b9cd0fae50aad347846cf93aa64c22&oe=60B28684,https://www.instagram.com/p/CPTyUsLjQVM/,
17934049825528451,Rain induced madness...the struggle is real. I’m tired of the rain but not green yet lol. #rain #weather #hulk #texas #thewoodlandstx #mud #mosquito #hurricane #flood #louisiana #oklahoma #precipitation #weatherchannel #markruffalo #mentalhealth,1,IMAGE,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/190645730_1177701066008450_7561572306968771340_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=Q4B4WbBh9RYAX-DjrdH&_nc_ht=scontent-lax3-2.cdninstagram.com&oh=9d974fa59b7993bea1b5e74e877b774c&oe=60B1C051,https://www.instagram.com/p/CPTyBOWnwPX/,
17886388097312658,"Check out this transformation! 😮

After an outside drain backed up during a heavy storm ⛈️, this brand new basement was flooded with more than 3 1/2 feet of dirty water and debris. 

Our skilled team of workers were able to remove all of the dirt and grass filled water pictured above and began the drying process. 

Fortunately, Servpro was able to save a lot of this family's belongings and cleaned the basement to get it ready for the rebuild process! 

Servpro truly can make any disaster seem ""Like it never even happened.""

📞 (215) 785-1777
#Transformation #Storm #Flood #WaterRestoration #Pennsylvania #StormSeason",0,IMAGE,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/191224720_1206148733188910_2290424876817486414_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=EiLBo9r_-KcAX-qAqBy&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=33b94c0e79a959d1a3a744ce6da4d447&oe=60B2F501,https://www.instagram.com/p/CPTw_v9LYZ6/,
17974175881391675,"💙💦 Kemijoen tulvavesien kuohuja, vesi on suht korkealla, kun on vettäkin sadellut... 💦 Talviturkin heitto ei todellakaan houkutellut. 😉😬

#tulva #flood #tulvavesi #riverflood #kevättulva #floodingatspring #joki #river #kemijoki #rantamaisema #shoreview #kevät #spring #rovaniemenvalokuvaajat #munympäristö #ourlapland #ourfinland #rovaniemi #napapiirillä #arcticcircle #lappi #lapland #suomi #finland",11,IMAGE,https://scontent-lax3-1.cdninstagram.com/v/t51.29350-15/192035071_2960155010922758_2736758546798946415_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=7FG6pp-5I_UAX-R_bTY&_nc_ht=scontent-lax3-1.cdninstagram.com&oh=8a97d4ab8113b58c796679243577ada8&oe=60B286A8,https://www.instagram.com/p/CPTvMXylBFN/,
17885010785257750,#alarm #security #protection #water #flood #process #developer #constructionlife #insurance #broker #realestateinvesting #toronto #blogging,5,IMAGE,https://scontent-lax3-2.cdninstagram.com/v/t51.29350-15/193234816_492534972012856_5130465624005846519_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=QVJk-KngEW4AX_WwyEm&_nc_oc=AQlnDvhvDRtsXZvHyzpbKzNs9U4gK9IB_J0-CdIb0K9SiIkPy2loILHatEM1LN9dQsE&_nc_ht=scontent-lax3-2.cdninstagram.com&oh=e43532eaa35d9a5297699d5d6af0d4f7&oe=60B35372,https://www.instagram.com/p/CPTueS5j5W9/,
