id,children,caption,comments_count,like_count,media_type,permalink,timestamp,media_url
17876038256501485,"{'data': [{'id': '17902618300927565'}, {'id': '17901053765064462'}, {'id': '17901391259013289'}, {'id': '17893550273163807'}, {'id': '17894596553143679'}, {'id': '17878482635331151'}, {'id': '17900886257031947'}, {'id': '17896639637112452'}, {'id': '17872159154436059'}]}",Aftermath of flash flood in Sindhupalchok. #flashflood #environment #disaster #nepal,1,178,CAROUSEL_ALBUM,https://www.instagram.com/p/CQWO_Z4hwHB/,2021-06-20T15:42:03+0000,
17856585593532323,,"Extreme Flash Flood Risk Surges in Deep South

As Tropical Depression Claudette travels over the US coastal states on early Sunday, forecasters warned of severe flash flooding in parts of the deep South, especially across central Alabama. These rapidly changing conditions emerged since Claudette began to batter parts of Georgia and the Carolinas early Sunday. 

#FlashFlood #FloodRisk #TropicalStorm #Claudette #US #CoastalAreas #South #Alabama #Carolina #Georgia #Weather #1WeatherShorts #Shorts

Download 1weather app using this link to get more such interesting content. 
https://1weather.onelink.me/DNwc/cc9cdc3f",0,1,IMAGE,https://www.instagram.com/p/CQWJnVprvs_/,2021-06-20T14:55:08+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/203159065_340564114092774_5896258552739345821_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=QDVZY719W_sAX_JQI9F&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=14472c7b85168357a393ac0e9e790734&oe=60D3654F
18156486664089576,,So it rained some last night… #como #flashflood #mutrail #running #whitewaterraftingmizzou,1,2,VIDEO,https://www.instagram.com/p/CQWIQwtA-bG/,2021-06-20T14:43:22+0000,https://video-sea1-1.cdninstagram.com/v/t50.2886-16/204893365_162959259184931_6131604411523498326_n.mp4?_nc_cat=111&vs=17900569136070275_599423211&_nc_vs=HBksFQAYJEdMVnNOZ3dqcjhIb05aUUFBRmFCRThTNTFSZFZia1lMQUFBRhUAAsgBABUAGCRHQUpvT2d6ZC1zUTJvZk1FQUMzS3JLZWJXb2xJYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbA6JWR9%2F7UPxUCKAJDMywXQC5EGJN0vGoYEmRhc2hfYmFzZWxpbmVfMl92MREAdeoHAA%3D%3D&ccb=1-3&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5mZWVkIn0%3D&_nc_ohc=rPZ8eosFMJUAX-yNL3P&_nc_ht=video-sea1-1.cdninstagram.com&oh=aac0afb17fa4c0904746b9308d862246&oe=60CFFC49&_nc_rid=cfdf350591
17895313385130959,,"Flash flood caught in action! 🌊🌊➡️ engineertechdaily ⬅️ for more! 
💡Follow alpine_trading if you interested in earning passive income from forex! 💵💵
.
🏷 Tag someone who would be interested in our content! 
. 
📮DM for credits / removal request. No copyright infringement intended. All rights and credits reserved to respective owner(s).
Credits: unknown
.
🏠 Check out dreamhouse_ig for modern minimalistic interior design idea! 
.
#engineer #engineering 🟢#tech #gadgets 🟦#Invention 🔵#trending #cool 🟨#viral #innovation 🟡#science 🟥#technology #techworld 🔴#techlover ⬜️#futuretech #robotics 🟪#lifehacks #funny 🟧#technologynews 🟠#techy #techies 🟣#newtechnology ⚫️#impressive 🟤#machineporn ⬛️#engineertechdaily 🟫#flood #flashflood #naturaldisaster #disaster",2,188,VIDEO,https://www.instagram.com/p/CQWA_j_H9Ss/,2021-06-20T13:40:59+0000,
17993692174332770,"{'data': [{'id': '17921345164681786'}, {'id': '18178405408141093'}]}","~Aftermath~Flashflood~Helambu~
#aftermath #flashflood #helambu #sindhupalchowk #people #photooftheday #suzalphoto",0,53,CAROUSEL_ALBUM,https://www.instagram.com/p/CQWAzaDsdjg/,2021-06-20T13:38:05+0000,
17972879830395723,,"~Aftermath~Flashflood~Helambu~
#aftermath #flashflood #helambu #sindhupalchowk #people #photooftheday #suzalphoto",0,52,IMAGE,https://www.instagram.com/p/CQV_U7PMA-I/,2021-06-20T13:25:11+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/202899217_780182406220458_7765989999272301130_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=-a_UGThqOR4AX-c-0Cu&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=806affee083cc6f72045c14243a5a2fc&oe=60D3F8CB
17851943426572885,,#aftermath #flashflood #melamchi #sindhupalchowk #photo #sdipen18,0,39,IMAGE,https://www.instagram.com/p/CQV-JYGh81q/,2021-06-20T13:14:52+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/202850552_361044232108271_2056270747346798534_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=5w-ZoG_ZjJUAX__Keik&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=44d2c22376389573a1142a3a86e07ba4&oe=60D365E7
17921885662667498,"{'data': [{'id': '17930793163598250'}, {'id': '17900658683040411'}, {'id': '17906213596940431'}, {'id': '17901435200021353'}, {'id': '17873554946394362'}]}","#SindhupalchokFloods

|| AFTER THE FLOOD - Image Series || 

Personal & house-hold items lay abandoned on the bank of Melamchi River. 

1. A wrist watch 
2. A transistor Radio 
3. A wireless router 
4. Mosquito repellent 
5. An idol of Hindu God, Lord Ganesha, covered in the flash-flood residue. 

All pictures: sahanavajracharya / OTRN
 
#AfterTheFlood #FlashFlood #SindhupalchokFloods #OnTheRecordNepal",2,917,CAROUSEL_ALBUM,https://www.instagram.com/p/CQV3RfnslAW/,2021-06-20T12:14:49+0000,
17921083555690607,"{'data': [{'id': '18164828251146148'}, {'id': '17907018118936068'}]}","When the fight over the inheritance goes too far.... 

#youngadultfiction #christianromance #inheritancefight #billionaire #heartbreak #suspensethriller #murdermystery #alphamale #mounties #canada #edmontonalberta #yukonterritory #sarcasm #love #drama #lds #vancouver #intensesituations #fallinginlove #playfulness #kissing #cleanromance #whoisbehinditall #losinglovedones #powerstruggle #selfishness #humor #forestrangers #handsomemen #flashflood",0,38,CAROUSEL_ALBUM,https://www.instagram.com/p/CQVo4GuLX7r/,2021-06-20T10:09:01+0000,
17903912290988557,"{'data': [{'id': '18161285266149306'}, {'id': '17886853499329033'}]}","Flash flood hits Nalapara, Guwahati

📸DM

For more, follow us on Instagram/Facebook

.
.
.
Tags:
#goodmorningsilchar #gmsilchar  #flashflood #flashfloods #guwahatiflood #nalapara #floodcity #cityflood",0,27,CAROUSEL_ALBUM,https://www.instagram.com/p/CQVbhs7LgeZ/,2021-06-20T08:12:21+0000,
17878998872467080,"{'data': [{'id': '17888300408251250'}, {'id': '17932188604569608'}, {'id': '17853458249593712'}]}","이게 머선일이고...👀
저거 내차같은데....
미국와서 참 별일을 다 겪는다~ 😂😂 
덕분에 새차생겼으니 좋아해야되나
잘가라👋🏻👋🏻
.
.
#미국 #미국일상 #flashflood #내눈을의심 #침수차 #굴러는가네 #새차득템✌🏻",3,10,CAROUSEL_ALBUM,https://www.instagram.com/p/CQVCQwuhIrX/,2021-06-20T04:31:35+0000,
17931514543579860,,"Rainy day! 🌧

#flashflood #rain #rainyday #dachshundsofinstagram #raincoat #dograincoat",0,4,IMAGE,https://www.instagram.com/p/CQUzSAZjoTy/,2021-06-20T02:20:41+0000,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/202785672_781059235938686_5615020957230977755_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=hhdReaSeOMMAX_50hnH&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=3f8a0c8f961cfbf00939e28c6566b600&oe=60D513D9
17932334629538072,"{'data': [{'id': '17877016799432944'}, {'id': '17933296186565745'}, {'id': '17910541411800562'}, {'id': '17889824090209941'}, {'id': '18082579147278677'}]}","I didn’t witness the flash flood destruction yesterday, but I was shocked by this fallen tree! Lots of limbs and debris… but the aftermath of the river flowing and the birds singing was nice… 😊",1,5,CAROUSEL_ALBUM,https://www.instagram.com/p/CQUqPNVJIcD/,2021-06-20T01:01:40+0000,
17921948491669459,"{'data': [{'id': '17965407337421181'}, {'id': '17878382258491114'}, {'id': '17905928380869344'}, {'id': '17910625105792290'}, {'id': '18231973735046829'}]}",The temporary creek we have due to the rain #flashflood #june #colorado #rain #weather #custercountycolorado,0,4,CAROUSEL_ALBUM,https://www.instagram.com/p/CQUl2SJH0hJ/,2021-06-20T00:23:19+0000,
