Id,title,time,keywords,data source,category,country,source URL,body,cleaned body,language
892995073.0,,2021-12-05 14:01:43+00:00,['floods'],Twitter,flood,[],https://twitter.com/IFRCAfrica/status/1392397059723075585,"Across Africa, at any given time, Red Cross and Red Crescent National Societies are responding to #floods or cyclones with lifesaving actions.  Learn more:  https://t.co/iLiQpJQbOi.  https://t.co/6vhltAOkdE['https://pbs.twimg.com/media/E1LJvvxWEAIRV86.jpg']",across africa  at any given time  red cross and red crescent national societies are responding to floods or cyclones with lifesaving actions  learn more ,en
9.08595e+17,,2021-12-05 13:55:41+00:00,"['nairobi', 'floods']",Twitter,flood,[],https://twitter.com/WanjohiKinguru/status/1392395543557640193,Poor drainage in Transami means we have to endure flooding when there is rain in Nairobi. We need to redo the drainage networks in the city. #Nairobi #Floods  https://t.co/FfwBfro0KO[],poor drainage in transami means we have to endure flooding when there is rain in nairobi  we need to redo the drainage networks in the city  nairobi floods,en
16043037.0,,2021-12-05 13:35:46+00:00,"['hs2', 'engineering', 'civilengineering', 'rail', 'stations', 'floods']",Twitter,none,[],https://twitter.com/ncedigital/status/1392390532316504066,"Daily brief:  🌥️ Queen's Speech intensifies #HS2 anxiety  https://t.co/Oqapyv1m9s  🌥️ @networkrail station competition winner revealed  https://t.co/Px3PLn9huQ  🌥️ Flood Action Plan launched  https://t.co/qIWqDlDQQn  #Engineering #CivilEngineering #Rail #Stations #Floods  https://t.co/mQWXqpiq2C['https://pbs.twimg.com/media/E1LDz05XIAAptuR.jpg', 'https://pbs.twimg.com/media/E1LDzz6XIAEDFbb.jpg', 'https://pbs.twimg.com/media/E1LDz1EWYAMXDx3.jpg']",daily brief     queen s speech intensifies hs2 anxiety    station competition winner revealed    flood action plan launched engineering civilengineering rail stations floods,en
2985110557.0,,2021-12-05 13:34:05+00:00,"['climate', 'drought', 'bushfires', 'floods', 'netzeroemissions']",Twitter,flood_drought,[],https://twitter.com/MalurusSally/status/1392390106120601600,#climate change impacts here already with #drought the #bushfires from August 2019 - March 2020 then #floods we need a plan for #NetZeroEmissions[],climate change impacts here already with drought the bushfires from august 2019   march 2020 then floods we need a plan for netzeroemissions,en
8.56593e+17,,2021-12-05 13:29:27+00:00,"['infomap', 'rainfall', 'droughts', 'floods', 'water']",Twitter,flood_drought,[],https://twitter.com/infoNILE/status/1392388939156271105,"🧵: This is Thirst in a River Basin, an interactive  #InfoMap 🌍that pinpoints the areas most vulnerable to changing #rainfall and runoff patterns - factors that contribute to #droughts and #floods - and those already facing 💧 #water scarcity in the Nile.  https://t.co/gOZUu08Gxa  https://t.co/uaDstL349p['https://pbs.twimg.com/media/E1LCXHmXoAM1J_9.jpg']",   this is thirst in a river basin  an interactive infomap  that pinpoints the areas most vulnerable to changing rainfall and runoff patterns   factors that contribute to droughts and floods   and those already facing   water scarcity in the nile ,en
1.30911e+18,,2021-12-05 11:27:07+00:00,"['sewer', 'floods', 'podcast']",Twitter,flood,[],https://twitter.com/AntoineWalter7/status/1392358155607232513,"What if we could avoid Fatbergs, #Sewer Blockages, and #Floods? That's what Brian Moloney shares us in this week's #Podcast. 🎧 Fatbergs Right Ahead? Not if you Harvest the Right Data! ▶ Listen to the full episode on your favorite Podcatcher, or on  https://t.co/PaCpbIkwNx  https://t.co/NuVfDwoiTD['https://pbs.twimg.com/media/E1KmXPYWQAMD_EN.jpg']",what if we could avoid fatbergs  sewer blockages  and floods  that is what brian moloney shares us in this week s podcast    fatbergs right ahead  not if you harvest the right data    listen to the full episode on your favorite podcatcher  or on,en
1.10737e+18,,2021-12-05 11:22:00+00:00,"['update', 'un', 'somalia', 'geneva', 'floods']",Twitter,flood,[],https://twitter.com/Xy5Z89/status/1392356869029642243,"#UPDATE 🇺🇳#UN #Somalia #Geneva #FLOODS Map by @CopernicusEMS  On Tuesday, UN humanitarians said that torrential rains in parts of Somalia caused flash floods, killing at least 25 people just two weeks after the country was declared drought-stricken.  https://t.co/lZH0rKlCaE['https://pbs.twimg.com/media/E1KlMVhXIAAGc15.jpg']",update   un somalia geneva floods map by on tuesday  un humanitarians said that torrential rains in parts of somalia caused flash floods  killing at least 25 people just two weeks after the country was declared drought stricken ,en
219038377.0,,2021-12-05 10:57:37+00:00,"['fortsimpson', 'floods']",Twitter,flood,[],https://twitter.com/DarleneOSicotte/status/1392350729084362752,@redcrosscanada help !!! @amnesty @HRWatchdog #FortSimpson #floods[],help     fortsimpson floods,en
7.38239e+17,,2021-12-05 09:37:22+00:00,"['films', 'floods', 'victims', 'essays', 'stories', 'poems']",Twitter,flood,[],https://twitter.com/_TMYS_/status/1392330533997146112,"Indian and Global #films. How have they depicted #floods and flood #victims? Welcoming Dr. Suchandra Ghatak as a speaker. TMYS Review Sept 2021  Calling for #essays, #stories, #poems on Migration, Resettlement and Displacement of Flood victims.  https://t.co/yEphjmZDgt  https://t.co/QIrjC6B38S['https://pbs.twimg.com/media/E1KMgiPUYAIN-MO.jpg']",indian and global films  how have they depicted floods and flood victims  welcoming dr  suchandra ghatak as a speaker  tmys review sept 2021 calling for essays  stories  poems on migration  resettlement and displacement of flood victims ,en
2362057418.0,,2021-12-05 09:08:18+00:00,['floods'],Twitter,flood,[],https://twitter.com/DrATchie/status/1392323220972396549,Fangak appeals for humanitarian aid as #floods engulf areas  https://t.co/8qso0r7YwB[],fangak appeals for humanitarian aid as floods engulf areas,en
