event_id,dataset_source,event,date,country,name_adm1,name_adm2,name_adm3,locality
b'qz8bdKs7BUf3CpnPLkSA',desinventar,FLOOD,2016-01-01,Albania,Fier,Fierit,Fier,Qarku Fier
b'VnwOOAzhJidBjM-x_Jji',desinventar,FLOOD,2016-01-06,Albania,Tiranë,Tiranës,Tiranë,Qarku Tiranë
b'uc59Kcgo0NTLVAfPCi5Y',desinventar,FLOOD,2016-01-06,Albania,Lezhë,Lezhës,Zejmen,Qarku Lezhë
b'-9o8DeG9xFjzgVtMTAwI',desinventar,FLOOD,2016-01-06,Albania,Durrës,Durrësit,Shijak,
b'dcn4PAAyX01gyL2nnFXV',desinventar,FLOOD,2016-01-07,Albania,Tiranë,Tiranës,Tiranë,Qarku Tiranë
b'sFueDHH2UedqZjtACVT3',desinventar,FLOOD,2016-01-07,Albania,Tiranë,Tiranës,Ndroq,Qarku Tiranë
b'VmA3BPOcilEW3CVxeF3g',desinventar,FLOOD,2016-01-07,Albania,Elbasan,Elbasanit,Elbasan,Qarku Elbasan
b'tiMgVWj_rEw8hAfQK4aw',desinventar,FLOOD,2016-01-07,Albania,Tiranë,Tiranës,Tiranë,Qarku Tiranë
b'8QaX2XKqSB-aiGWlLmMx',desinventar,FLOOD,2016-01-07,Albania,Tiranë,Tiranës,Tiranë,Qarku Tiranë
b'V0sTPFTrvJjMemh1F5Bd',desinventar,FLOOD,2016-01-08,Albania,Tiranë,Kavajës,Lekaj,Qarku Tiranë
b'dumc1rGm4pky2zIyhuGq',desinventar,DROUGHT,2018-10-05,Angola,Cuando Cubango,Mavinga,Luengue,Samayovo
b'baKNws2KZZOZ1zC7gH7N',desinventar,DROUGHT,2020-02-18,Angola,Cuando Cubango,Menongue,Menongue,Cuando Cubango
b'vdHg8i5q3bBmVtjP0ojs',desinventar,FLOOD,2016-01-11,Angola,Malanje,Malanje,Malanje,"Bairros da Carreira de Tiros, Vila Matilde e Catepa"
b'SDN0wqUygXYjbNJdHm-Q',desinventar,FLOOD,2016-01-12,Angola,Luanda,Viana,Viana,"Caop A e B, Bairro Esperança, Luanda Sul, Kapalanca, zango I"
b'iYWwo_eWwk9xhNI1pkyi',desinventar,FLOOD,2016-01-25,Angola,Uíge,Uíge,Uíge,"Bairro Papelão, zona nº 02, bloco 1 e 2,"
b'iMOa_CdiovzX0yVc5Pbf',desinventar,FLOOD,2016-01-26,Angola,Bié,Cuito,Cuito,Bairro Praia
b'9dRG6vNyXBHjbJ62Sj9y',desinventar,FLOOD,2016-01-31,Angola,Cabinda,Cacongo(ex. Lândana),Cacongo,Cabinda
b'K6Ht98ACxlE49NFYeM4K',desinventar,FLOOD,2016-02-09,Angola,Luanda,Viana,Viana,"Várias zonas afectadas no município, os centros urbanos"
b'bRX6N6OPj0yFMyuOwxZw',desinventar,FLOOD,2016-02-09,Angola,Luanda,Luanda,Ingombota,Maior incidência nos distritos da Ingombota e Samba
b'Sa_Zq9tN_bAPrQKDeB33',desinventar,FLOOD,2016-02-10,Angola,Luanda,Cazenga,Cazenga,Toda extensão do município
b'JySiujt_eYfaswaCQ01g',desinventar,FLOOD,2016-02-17,Angola,Luanda,Viana,Viana,"Vila nova, vila sede, kapalanga, Viana II"
b'08WntYEM7UlX1idjUxG_',desinventar,FLOOD,2016-02-21,Angola,Bié,Cunhinga (Vouga),Cunhinga,Sede do Município e bairros adjacentes
b'RiZvpJT74hglHhhzo8fx',desinventar,FLOOD,2016-02-12,Barbados,Saint Philip,,,Duncans Main Road
b'CqIg8s_zXCtxLECzQagf',desinventar,FLOOD,2016-07-15,Barbados,Saint Michael,,,President Kennedy Drive
b'OvOzMAh1ku76NSmO0a-T',desinventar,FLOOD,2016-09-28,Barbados,Saint Michael,,,Hindsbury Road; Hall Road; Station Hill
b'Bv7yPKBXJ1nxeVTz5eds',desinventar,FLOOD,2016-11-29,Barbados,Saint Philip,,,Woodbourne Park
b'D1BWT9TBbIrrAQa7OEeH',desinventar,FLOOD,2016-11-29,Barbados,Saint Michael,,,The Belle; Kensington New Road
b'8raDWdJmQnDAE-FgyUc3',desinventar,FLOOD,2016-11-29,Barbados,Saint Thomas,,,5th Avenue Bagatelle
b'sQPSwDslTHixSTOPWzz-',desinventar,FLOOD,2016-11-29,Barbados,Saint James,,,Crystal Heights
b'qfgL9Q2TYKU0e2fa-tvX',desinventar,FLOOD,2016-11-29,Barbados,Saint James,,,5th Avenue Bagatellle
b'L2A02KrA9cMOfGH_0ae8',desinventar,FLOOD,2017-08-18,Barbados,Saint Peter,,,Gills Terrace
