id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1401207211179790337,1401207211179790337,2021-06-05 21:30:06 India Standard Time,2021-06-05,21:30:06,+0530,862771,arvindvijh,Arvind Vijh 🇨🇦,,The bull market in #crop prices probably has lots of time to run because any crop production problem this summer will just encourage crop buyers and users to buy more to ensure their stocks are sufficient to handle a true shock. #agri #food  https://t.co/OjRgjqjPla,en,[],['https://livesocial.deloitte.com/tDYGTJ'],[],0,1,1,"['crop', 'agri', 'food']",[],https://twitter.com/arvindvijh/status/1401207211179790337,False,,0,,,,,,,,[],,,,
1401192187371659265,1401192187371659265,2021-06-05 20:30:25 India Standard Time,2021-06-05,20:30:25,+0530,4822150394,kyminasitech,Harvest Harmonics,,New technology improves three key areas of plant health and crop production: Introducing the Kyminasi Plant Booster! Learn more about the our advanced plant booster technology in agriculture here &gt;&gt;  https://t.co/GNvN6pySIg   #agriculture #farming #cropbooster #crop #soil #organic,en,[],['https://bit.ly/3gcghiq'],[],0,0,0,"['agriculture', 'farming', 'cropbooster', 'crop', 'soil', 'organic']",[],https://twitter.com/KyminasiTech/status/1401192187371659265,False,,0,,,,,,,,[],,,,
1401082258572808199,1401082258572808199,2021-06-05 13:13:35 India Standard Time,2021-06-05,13:13:35,+0530,1341972250375774208,globaljournalo8,Global Journal of Research & Review,,"The demand for AI in #agriculture is being driven by rising need for agricultural production due to rising population, new #technology for improving #crop productivity, and increased adoption of data management systems.  https://t.co/veGCr1xNae  https://t.co/mqi8z4JgRw",en,[],['https://bit.ly/3zeESfo'],['https://pbs.twimg.com/media/E3Gk31fVIAAotM5.png'],0,0,0,"['agriculture', 'technology', 'crop']",[],https://twitter.com/GlobalJournalo8/status/1401082258572808199,False,,1,https://pbs.twimg.com/media/E3Gk31fVIAAotM5.png,,,,,,,[],,,,
1400723999584227332,1400723999584227332,2021-06-04 13:30:00 India Standard Time,2021-06-04,13:30:00,+0530,803782508819025920,agronomy_mdpi,Agronomy,,"📢Welcome to #Agronomy Special Issue ""Harnessing #Epigenetic Phenomena for #Crop #Breeding and Production""edited by Prof. Dr. Graham J. King, Dr. Stephen Robinson 👉Find more:  https://t.co/1ogGJUpfge  https://t.co/GWNSCCAqCZ",en,[],['https://www.mdpi.com/journal/agronomy/special_issues/Epigenetic_Crop_Breeding'],['https://pbs.twimg.com/media/E28t2SRVIAQOA2s.png'],0,0,1,"['agronomy', 'epigenetic', 'crop', 'breeding']",[],https://twitter.com/Agronomy_Mdpi/status/1400723999584227332,False,,1,https://pbs.twimg.com/media/E28t2SRVIAQOA2s.png,,,,,,,[],,,,
1399708187419414528,1399708187419414528,2021-06-01 18:13:31 India Standard Time,2021-06-01,18:13:31,+0530,1392107096359964673,colombia_change,CultivatingChangeColombia,,"We are currently developing our national #pathways for #Colombia 🇨🇴! One of them will focus on the improvement of #nutritional value in #crop production using #geneticengineering. Do you have any opinions, ideas, experiences with that? Get in touch with us!",en,[],[],[],1,1,5,"['pathways', 'colombia', 'nutritional', 'crop', 'geneticengineering']",[],https://twitter.com/colombia_change/status/1399708187419414528,False,,0,,,,,,,,[],,,,
1398597289430683651,1398597289430683651,2021-05-29 16:39:13 India Standard Time,2021-05-29,16:39:13,+0530,1498411483,kzembassynl,Embassy of Kazakhstan in the Netherlands,,"On May 21, 2021 - The #Embassy together with #KazakhInvest held a meeting with representatives of Rijk Zwaan. At the #meeting parties discussed the development of cooperation in the field of #crop production, as well as the possibility of creating a training center for farmers.  https://t.co/zhGXwgWmkd",en,[],[],['https://pbs.twimg.com/media/E2jQ0SZWUAQB5YR.jpg'],0,0,1,"['embassy', 'kazakhinvest', 'meeting', 'crop']",[],https://twitter.com/KZembassyNL/status/1398597289430683651,False,,1,https://pbs.twimg.com/media/E2jQ0SZWUAQB5YR.jpg,,,,,,,[],,,,
1398204602831474688,1398204602831474688,2021-05-28 14:38:49 India Standard Time,2021-05-28,14:38:49,+0530,135805877,confructamedien,confructa medien,,World Citrus Organisation (WCO) presents annual Southern Hemisphere production &amp; export forecast and sets-up permanent Health &amp; Nutrition Working Group in Annual General Meeting #citrus #crop #forecast #confructa  https://t.co/EQSbRGA90m  https://t.co/w7dLl7npUi,en,[],['https://bit.ly/3oVzTvk'],['https://pbs.twimg.com/media/E2drpVaX0AAvd-8.jpg'],0,0,1,"['citrus', 'crop', 'forecast', 'confructa']",[],https://twitter.com/confructamedien/status/1398204602831474688,False,,1,https://pbs.twimg.com/media/E2drpVaX0AAvd-8.jpg,,,,,,,[],,,,
1397944581006807045,1397944581006807045,2021-05-27 21:25:35 India Standard Time,2021-05-27,21:25:35,+0530,1144079806532919296,csirsri,CSIR-Soil Research Institute,,Upcoming Event....Upcoming Event.....Upcoming Event...... #cropproduction #soils #SoilHealth #CROP #Sustainability #Production #agriculture #sapip #csir #soilresearchinstitute  https://t.co/5IfBlR797Z,en,[],[],['https://pbs.twimg.com/media/E2Z-2cVX0Akp95C.jpg'],0,0,0,"['cropproduction', 'soils', 'soilhealth', 'crop', 'sustainability', 'production', 'agriculture', 'sapip', 'csir', 'soilresearchinstitute']",[],https://twitter.com/CSIRSRI/status/1397944581006807045,False,,1,https://pbs.twimg.com/media/E2Z-2cVX0Akp95C.jpg,,,,,,,[],,,,
1396586234407841792,1396586234407841792,2021-05-24 03:28:00 India Standard Time,2021-05-24,03:28:00,+0530,277709487,farmdaily,Farm Progress Daily,,Fast planting boosts #crop production potential Way-too-early forecast puts U.S. #corn #yield at 180 bushels per acre.  https://t.co/CNREMvADrC #AgMarketingIQ,en,[],['https://www.farmprogress.com/marketing/fast-planting-boosts-crop-production-potential'],[],0,0,0,"['crop', 'corn', 'yield', 'agmarketingiq']",[],https://twitter.com/farmdaily/status/1396586234407841792,False,,0,,,,,,,,[],,,,
1396546220709990401,1396546220709990401,2021-05-24 00:49:00 India Standard Time,2021-05-24,00:49:00,+0530,41670073,csdigest,Corn-Soybean Digest,,Fast planting boosts #crop production potential Way-too-early forecast puts U.S. #corn #yield at 180 bushels per acre.  https://t.co/KVmo8A5seC #AgMarketingIQ,en,[],['https://www.farmprogress.com/marketing/fast-planting-boosts-crop-production-potential'],[],0,0,0,"['crop', 'corn', 'yield', 'agmarketingiq']",[],https://twitter.com/csdigest/status/1396546220709990401,False,,0,,,,,,,,[],,,,
1396545968947048456,1396545968947048456,2021-05-24 00:48:00 India Standard Time,2021-05-24,00:48:00,+0530,277709487,farmdaily,Farm Progress Daily,,Fast planting boosts #crop production potential Way-too-early forecast puts U.S. #corn #yield at 180 bushels per acre.  https://t.co/CNREMvSeQc #AgMarketingIQ,en,[],['https://www.farmprogress.com/marketing/fast-planting-boosts-crop-production-potential'],[],0,1,1,"['crop', 'corn', 'yield', 'agmarketingiq']",[],https://twitter.com/farmdaily/status/1396545968947048456,False,,0,,,,,,,,[],,,,
1396541691084038145,1396541691084038145,2021-05-24 00:31:00 India Standard Time,2021-05-24,00:31:00,+0530,64748159,farmfutures,Farm Futures,,Fast planting boosts #crop production potential Way-too-early forecast puts U.S. #corn #yield at 180 bushels per acre.  https://t.co/l9yXcoE1bP #AgMarketingIQ,en,[],['https://www.farmprogress.com/marketing/fast-planting-boosts-crop-production-potential'],[],0,0,1,"['crop', 'corn', 'yield', 'agmarketingiq']",[],https://twitter.com/FarmFutures/status/1396541691084038145,False,,0,,,,,,,,[],,,,
1396480538056085505,1396480538056085505,2021-05-23 20:28:00 India Standard Time,2021-05-23,20:28:00,+0530,277709487,farmdaily,Farm Progress Daily,,Fast planting boosts #crop production potential Way-too-early forecast puts U.S. #corn #yield at 180 bushels per acre.  https://t.co/CNREMvADrC #AgMarketingIQ,en,[],['https://www.farmprogress.com/marketing/fast-planting-boosts-crop-production-potential'],[],0,0,1,"['crop', 'corn', 'yield', 'agmarketingiq']",[],https://twitter.com/farmdaily/status/1396480538056085505,False,,0,,,,,,,,[],,,,
