,category
1804,flood
53,none
1771,flood
78,none
1022,flood
231,none
668,none
1010,flood
1371,none
958,none
1181,flood
1968,none
560,none
1535,none
1916,flood
1175,flood
1185,flood
130,none
59,none
1218,flood
210,none
1094,flood
603,none
1499,flood
1053,flood
2044,none
943,none
1311,flood
1078,flood
1176,none
608,none
1923,flood
1712,flood
775,none
1261,flood
1589,flood
97,none
1828,none
1886,none
427,none
1908,flood
1194,flood
1520,none
973,none
1255,none
1608,flood
1376,none
52,none
1956,flood
597,none
1220,flood
1474,flood
56,none
1595,flood
1634,flood
2053,none
786,none
1661,none
1024,flood
1272,flood
172,none
1161,none
1315,flood
1110,flood
1846,none
1277,flood
1951,flood
955,none
1239,flood
622,none
1965,flood
1523,none
1052,flood
224,none
604,none
701,none
1578,none
1476,flood
240,flood
1811,flood
991,flood
1580,none
1745,flood
988,flood
1999,none
565,none
1348,flood
1821,flood
1066,flood
1202,flood
461,none
163,none
1211,flood
1986,flood
1517,none
1163,none
619,none
34,none
1865,flood
1290,flood
1464,none
1629,flood
2063,none
1144,flood
1896,flood
1417,flood
1512,flood
1205,flood
1612,none
1292,none
436,none
227,flood
1569,none
2042,none
1590,flood
1068,flood
545,none
2039,none
758,none
653,none
1691,flood
138,none
1722,flood
1003,flood
676,none
1557,none
1898,flood
1307,none
1902,flood
1303,none
2022,flood
1778,flood
1495,none
976,none
