,category
1420,flood
919,none
804,flood
439,none
1241,flood
401,none
557,none
1212,flood
196,none
761,none
1365,flood
397,none
763,none
1113,none
1419,flood
1392,flood
1249,flood
224,none
1172,none
1243,flood
731,none
1175,flood
703,none
976,flood
912,flood
531,none
74,none
860,flood
880,flood
35,none
1122,none
1371,flood
1190,flood
1030,none
1034,flood
810,flood
568,none
985,none
1138,none
479,none
1086,flood
898,flood
881,none
1398,none
1170,none
1347,flood
1145,none
885,none
1389,flood
732,none
369,flood
979,flood
623,none
1288,flood
1331,flood
626,none
738,none
551,none
1450,flood
1256,flood
192,none
984,none
1273,flood
1055,flood
722,none
1327,flood
926,flood
1423,none
1400,flood
701,none
1238,flood
608,none
1167,flood
1228,none
1025,none
589,none
687,none
1366,flood
805,flood
1269,flood
1437,flood
177,none
1236,flood
789,flood
151,none
1373,none
1313,flood
1196,flood
1168,flood
1334,flood
577,none
374,none
900,flood
1008,flood
724,none
683,none
452,none
1417,none
952,flood
793,flood
1100,none
891,flood
689,none
1198,flood
1225,flood
783,flood
886,flood
1401,flood
520,none
571,none
604,none
943,flood
355,none
554,none
1377,flood
1364,flood
200,none
1103,none
538,none
364,none
1204,flood
560,none
802,flood
1216,flood
178,none
982,none
1040,flood
45,none
1357,flood
1427,none
1191,flood
1255,flood
740,none
692,none
