id,caption,comments_count,like_count,media_type,media_url,permalink,timestamp,children,keyword
17897033339076120,"下雨了，我還沒有放下心。
有往山裡跑的人應該都會有感，水情差不是這短短一兩個月的事。

去年年底，因為全年沒颱風，全台灣野溪的虎頭蜂異常肆虐。
今年初，預期中的乾季一直沒有結束，瀑布季一直沒有來。
山友開始報水源不足，連固定水源都開始消失，各地取水處變成乾溪溝；找水要愈切愈遠，水流愈來愈小。

再後來，理論上該泥濘的路沒有泥濘，高山湖泊乾涸。
百岳新手們高興自己人品好出大景，但其實很不對勁，山裡不該這個月份還這麼常藍天白雲。

我記得讓我最恐慌的，是那個波光粼粼的霧社水庫，在兩個月前經過時直接徹底消失不見變成一片草地和沙地。

回頭想想，國高中的時候的梅雨季怎麼下的——
那時候的四五月，雨下到沒辦法乾著頭髮上校車，大家索性把鞋襪書包用垃圾袋裝一裝，給雨淋。
每年都有這個時節。

然後它不見了。
接著颱風也不見了。

說實話現在這種雨量能帶來的幫助，不過就是多撐兩三天。
我最怕的不是現在沒有水，
而是以後都沒有水。

氣候變遷，人如此渺小。

#climatechange #drought #hiking #trekking #mountains #outdoor #solotravel #玉山 #八通關 #凹豆 #百岳",0,5,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/194348923_1212932889167118_5659438228637793595_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=yaVlz8eFS8AAX8E1zDs&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=a500882d37fe5333d1985b7aff7380b3&oe=60B7BFB9,https://www.instagram.com/p/CPfKz_mrKij/,2021-05-30T06:27:19+0000,,drought
17901720691969520,#traces #drought #trocken #cassé #fragmented #hexanon52mm #hexanonlens #hexanon #sonyphotography #blackandwhitephotography #sonya7ii #secheresse,0,3,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/193900356_3826657060797316_6517281064423747642_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=VamEp6QiHr4AX_gsfe_&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=7cade63578468424aeac4814bcd6fd4d&oe=60B79C10,https://www.instagram.com/p/CPfGSJKHZDT/,2021-05-30T05:47:45+0000,,drought
17891232725153466,"最新節目上線啦！
泊人ANKR Live Session - 赤地 | A.P.R.A (live set) / Dapu, Taiwan
完整影片連結請點泊人帳號 ankr.tw 

New episode online now!
Click the link in bio to watch full video in 4K ankr.tw

這次拍攝有許多體悟
團隊們頂著30多度的高溫，烈日下曝曬7小時，難免有曬傷的痕跡
但也比不上視覺的衝擊，從勘景時就印在心裡
入口處的招牌，醒目文字寫著 ""碼頭""，曾經最大的水庫，上游已近乎乾枯，只剩下遠方苟延的小溪向下游輸送水源。
新聞照片中龜裂的土地，到了現場才發現，裂痕深度都超過50公分，地層分佈就像海中的山谷平原，每一層的生態地貌都不相同，土地的觸感，也反映在踩踏出的腳印深度...

真的要親臨現場才能感受這歷史性旱災的嚴重性
希望我們這支作品能當作祈雨的樂曲，敲響反思的警鐘
水資源吃緊，疫情艱困
天佑台灣，協力度過難關

*這次拍攝又差點搞丟一台空拍機，為了尋找，我們用雙腳橫跨整個水庫，尤其讚嘆 蔡岳鋒 的越野能力...
用雙腳走過水庫的男人，聽起來比泳渡日月潭帥一些？(大誤

*非常感謝 台灣水庫即時水情的網站 讓我們能精準掌握水庫的實況

--

【Video】
Produced by DotDot-Creative dotdot_creative
Producer｜Gary Chen gazer.417
Marcom｜Will Kuo allthevoice
Director of Audio Tech｜Jack Yang ultimatejy
Cinematographer｜Tyler De Salò salo_chou, York Tsai aaaa29188070, Chenyu Chiu chagall43
Aerial Cinematography｜York Tsai aaaa29188070
Editor｜York Tsai aaaa29188070, Roger Lin roger50116
Colorist｜Tyler De Salò salo_chou

【Music】
Composed and Produced by LiYang (A.P.R.A) liyang_apra
Tenor Sax (Track #2)｜Yellow Animal huang.eri
Alto Sax and Tenor Sax (Track #3)｜Ding Siyuan dingsiyuan199
Mixing｜Tim DeWit dutchegerm
Mastering｜Jack Yang ultimatejy

#泊人ANKR
#ANKR
#livesessions
#音樂 #環境 #自然
#music #environment #nature
#outdoor #life #4K
#DJ #techno #bass #dub #step #minimal #ambient #experimental #atmosphere
#reservoir #drought #valley #landscapes #soundscapes #drone #fieldrecordings",1,23,CAROUSEL_ALBUM,,https://www.instagram.com/p/CPfFF5-HVTV/,2021-05-30T05:37:20+0000,"{'data': [{'id': '17887281101139158'}, {'id': '17870106602418799'}, {'id': '17878399709368571'}, {'id': '17895678569087857'}, {'id': '18112043035233894'}, {'id': '18173965486188562'}, {'id': '17918535754631538'}, {'id': '17873154854355478'}, {'id': '17887355909237060'}, {'id': '18159359809145787'}]}",none
17871805487382898,"Dyce Payso x Reem- Drought
Check it Out!
#music #guttatunes #dycepayso #reem #drought #newsong #newmusic #newtunes #rap #rapmusic #hiphop #hiphopmusic #musicvideo #2021 #newheat #newmusicalert #musiclife #newmusic2021 #musicislife #artist #musician #rapper #youtube #explorepage #explore #musicblog",5,4,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/193732002_1483210115377958_7196085435192935281_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=g7OFVmjjx9YAX-gG28c&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=2c1402739d92b6d183175e94f63ebaee&oe=60B7AFB0,https://www.instagram.com/p/CPfERUIjdvR/,2021-05-30T05:30:09+0000,,none
17929726969544774,"下雨終於來了! It's finally raining in Taichung! We needed this so badly!
_________
#台灣 #台中 #下雨 #終於下雨了 #drought #taiwandrought  #taichungcity #taichung #乾旱 #台灣乾旱 #taiwanrain #skyline #urban #rainyday #ilovetaiwan #beautifultaiwan",0,2,VIDEO,,https://www.instagram.com/p/CPfD474nvYL/,2021-05-30T05:27:32+0000,,drought
17958181051436999,Probably the first time I was dying and so happy to see these rain #drought #taichung,0,5,CAROUSEL_ALBUM,,https://www.instagram.com/p/CPe_jxmjlxP/,2021-05-30T04:48:59+0000,"{'data': [{'id': '17893804589040073'}, {'id': '17894806562019797'}, {'id': '18008491861317614'}, {'id': '18228011515056802'}, {'id': '17921230279630412'}, {'id': '17917125457693346'}, {'id': '18227184844055728'}]}",drought
17887184414197015,"最新節目上線！

泊人ANKR Live Session - 赤地 | A.P.R.A (llive set) / Dapu, Taiwan
liyang_apra

緩步走下湖底
踏上龜裂的土地
湖光水色的台灣最大水庫
竟成瀕臨枯涸的赤土
浮現的，是被敲響的警鐘
頭頂烈日，將此曲獻為祈雨的儀式
見證五十年一遇大旱
反思氣候變遷下我們的處境

4K完整版影像請點網站連結！
請訂閱【泊人 ANKR】的YouTube頻道，我們會繼續推出更多影音內容

New episode is online now!
Click the link to watch the full video in 4K.
Please subscribe our channel for more videos in the future.

Starting at the source of the reservoir, we walked on the cracked ground down a gentle slope to the bottom of the lakebed.
Once the largest reservoir in Taiwan, the place was now almost completely dry.
As the sun burned like a fire above, the dead wood on the ground seemed to tell it's own history.
We hope to dedicate this music to the ceremony of praying for rain, and inspire reflection on environmental conservation and protection.

—
泊人ANKR - Live Session
是在戶外發生的電子音樂演出計畫
我們進入自然環境，捕捉人與大地的和諧關係
創造自然與音樂合而為一的醇美一瞬

ANKR - Live Session is an electronic music spectacle that takes place in outdoor surroundings.
We enter nature to capture the harmonious relationship between humanity and the environment, melding together sound and space to commemorate the extraordinary moment.

—
【Video】
Produced by DotDot-Creative dotdot_creative
Producer｜Gary Chen gazer.417
Marcom｜Will Kuo allthevoice
Director of Audio Tech｜Jack Yang ultimatejy
Cinematographer｜Tyler De Salò salo_chou, York Tsai aaaa29188070, Chenyu Chiu chagall43
Aerial Cinematography｜York Tsai aaaa29188070
Editor｜York Tsai aaaa29188070, Roger Lin roger50116
Colorist｜Tyler De Salò salo_chou

【Music】
Composed and Produced by LiYang (A.P.R.A) liyang_apra
Tenor Sax (Track #2)｜Yellow Animal huang.eri
Alto Sax and Tenor Sax (Track #3)｜Ding Siyuan dingsiyuan199
Mixing｜Tim DeWit dutchegerm
Mastering｜Jack Yang ultimatejy

#泊人ANKR
#ANKR
#livesessions
#音樂 #環境 #自然
#music #environment #nature
#outdoor #travel #life #4K
#DJ #techno #bass #dub #step #ambient #experimental #atmosphere
#reservoir #drought #valley #landscapes #soundscapes #drone #fieldrecordings",2,40,CAROUSEL_ALBUM,,https://www.instagram.com/p/CPe9VLGnaxK/,2021-05-30T04:29:31+0000,"{'data': [{'id': '17879244479351530'}, {'id': '17858185136544419'}, {'id': '17907879112804251'}, {'id': '17929930015538017'}, {'id': '17876842244321340'}, {'id': '17908188865790973'}, {'id': '17908907569857145'}, {'id': '17920583857656965'}, {'id': '17874352388438863'}, {'id': '18227558752058193'}]}",none
18226131106001785,It’s too early for the hills to look like this #may #californiahills #drought,0,1,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/193234478_906722430109530_167826312799309411_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=5qXYAmrEhX0AX823znl&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=56e464f3b71fa9a12391869f356c5a11&oe=60B83771,https://www.instagram.com/p/CPe5rrkLOHh/,2021-05-30T03:57:38+0000,,drought
17857706522512178,#sanpabloreservoir is #solow #california #drought but what a beautiful walk out #inspirationpoint,0,3,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/193164018_300285038493641_7877179857453827689_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=CG1jwNykXbsAX-MX-mk&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=daf950c597d354db73354960a7a792ef&oe=60B73069,https://www.instagram.com/p/CPe5aTRh6Cw/,2021-05-30T03:55:16+0000,,drought
17873037533346854,#numberone #no1 #ontop #philljd #praying #rain #drought #country #music #countrymusic #australia #cmaa #nsw #songwriting #song #sing #achieve #dream #top #international #internationalchart #countrycharts,1,6,IMAGE,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/192777628_496350991514486_641360926189397706_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=8ae9d6&_nc_ohc=iAZXIm8YOAIAX_P4pQW&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=c9fd2e8a19838a8dbc068064face82f1&oe=60B7954B,https://www.instagram.com/p/CPe4EaENHCr/,2021-05-30T03:43:32+0000,,none
