,category
639,drought
707,none
882,drought
646,none
826,drought
203,none
667,none
1074,drought
1874,none
300,none
404,drought
558,none
757,none
1260,none
411,drought
438,drought
1021,drought
2191,none
1484,none
571,drought
1043,none
23,drought
824,none
492,drought
425,drought
846,none
1396,none
467,drought
1122,drought
80,none
1728,none
618,drought
619,drought
50,none
858,drought
0,drought
633,none
1069,none
773,none
2114,none
131,drought
1116,drought
859,none
295,none
1453,none
168,drought
51,none
377,none
546,drought
1554,none
161,drought
415,drought
257,none
584,drought
191,drought
721,none
920,none
2390,none
453,drought
449,drought
253,none
1690,none
184,drought
403,drought
985,none
375,drought
135,drought
718,none
569,drought
1608,none
536,drought
321,none
980,drought
120,none
1560,none
687,none
532,none
1042,drought
431,drought
376,drought
1113,drought
659,none
577,drought
471,drought
1075,none
526,none
156,drought
1020,drought
445,drought
1039,drought
1442,none
1508,none
440,drought
132,drought
789,none
872,none
79,none
2028,none
1601,drought
157,drought
310,none
308,drought
897,none
417,drought
1824,drought
944,drought
587,drought
499,drought
772,none
97,none
853,none
614,drought
838,none
555,none
457,drought
1037,drought
1448,none
1543,none
1558,none
1580,none
142,drought
2293,none
790,drought
468,drought
2455,none
297,none
383,drought
791,none
15,drought
863,none
442,drought
167,drought
1568,none
747,none
