,category
2071,flood
807,none
1933,flood
739,none
1775,flood
998,none
1141,none
2137,flood
1514,none
225,none
1232,flood
1308,none
1729,none
1454,none
1507,flood
1362,flood
1810,flood
1034,none
1028,none
303,flood
652,none
2129,flood
666,none
1575,flood
1244,flood
73,none
815,none
1860,flood
2178,flood
655,none
1421,none
341,flood
2040,flood
1520,none
2099,flood
1079,flood
1361,none
697,none
300,none
805,none
1521,flood
1563,flood
1363,none
2250,none
1073,none
1883,flood
708,none
221,none
1868,flood
963,none
1934,flood
1272,flood
897,none
1897,flood
1929,flood
19,none
1697,none
1471,none
1692,flood
1260,flood
2261,none
894,none
1612,flood
2213,flood
120,none
1071,flood
2182,flood
579,none
1286,flood
36,none
1645,flood
776,none
1915,flood
760,none
1040,none
170,none
1455,none
1784,flood
1987,flood
1636,flood
254,flood
500,none
1411,flood
2045,flood
1406,none
1478,none
219,flood
1252,flood
1607,flood
1093,flood
757,none
1672,none
2059,flood
1629,flood
1322,none
504,none
844,none
906,none
1224,flood
1255,flood
1722,none
1878,flood
95,none
2175,flood
1765,flood
1881,flood
1113,flood
2061,flood
973,none
1181,none
994,none
1789,flood
1437,none
1911,none
2068,flood
1609,flood
106,none
240,none
193,none
1382,none
1261,flood
811,none
1941,flood
1550,flood
1847,none
675,none
1872,flood
988,none
1948,flood
211,none
1601,flood
1191,flood
294,none
861,none
