,category
1186,flood
1798,none
1193,flood
2307,none
1329,flood
1640,none
489,none
2163,flood
728,none
2015,none
1920,flood
2177,none
501,none
889,none
2290,flood
348,flood
1563,flood
302,none
923,none
1326,flood
918,none
1694,flood
73,none
1752,flood
2039,flood
1610,none
34,none
1318,flood
335,flood
321,none
1792,none
224,flood
2248,flood
544,none
1709,flood
1978,flood
289,none
2315,none
671,none
2456,none
1243,flood
2380,flood
607,none
2447,none
1059,none
2325,flood
1436,none
515,none
2350,flood
106,none
1672,flood
1953,flood
1724,none
2128,flood
2151,flood
105,none
1026,none
1566,none
1516,flood
165,flood
31,none
2435,none
352,flood
1172,flood
1866,none
2186,flood
2002,flood
97,none
2033,flood
1179,none
2292,flood
1872,none
1382,flood
1457,none
988,none
850,none
118,none
1542,flood
1355,flood
1488,flood
1896,flood
1365,none
2308,flood
2131,flood
1095,none
458,none
2096,flood
218,flood
1700,flood
1225,flood
56,none
1034,none
1820,flood
1177,flood
791,none
652,none
309,none
1567,none
1483,flood
1756,flood
2443,none
1222,flood
971,none
1652,flood
1384,flood
1762,flood
1492,flood
1428,flood
659,none
1063,none
125,none
1510,flood
1487,none
1811,none
2230,flood
729,flood
967,none
683,none
94,none
632,none
2399,flood
304,none
1823,flood
1378,flood
1855,none
1646,none
2169,flood
2390,none
1950,flood
2429,none
1999,flood
1213,flood
854,none
937,none
