Unnamed: 0,Id,title,time,keywords,data source,country,source URL,body,language
2642,1.4e+18,,2021-06-02 07:46:57+00:00,,Twitter,Jamaica,,"had a dream a flood came and covered everything except this tiny patch of land where i was sitting, heavily pregnant and chain smoking, just watching the water. what on earth is going on in my subconsciousness??",English
3540,1.03e+18,,2021-04-27 06:02:44+00:00,"['species', 'fruit', 'flowers', 'environments', 'fire', 'floods', 'drought', 'survivor']",Twitter,,https://twitter.com/Pearsonw_matt/status/1386840701472632833,"I find she-oaks a genuinely fascinating #species with their woody aggregate #fruit and fluffy female #flowers. They grew in various #environments withstanding #fire, #floods and #drought a true #survivor.  https://t.co/pcojxjOl00['https://pbs.twimg.com/media/Ez8MOZzVUAEZTga.jpg']",English
4173,1.4e+18,,2021-06-01 02:29:59+00:00,['marketpulse'],Twitter,Australia,https://twitter.com/AuctionsPlus/status/1399614182144815108,"Cattle Breed Breakdowns - Hereford ""The largest jump in prices for a single Hereford category since the depths of the drought in 2019 was for PTIC cows, which averaged $2,430 head in 2021 – up 191% over the two-year period."" #MarketPulse  https://t.co/xGtOCr5CF8  @HerefordsAust[]",English
4143,1.4e+18,,2021-06-02 21:22:36+00:00,[],Twitter,Australia,https://twitter.com/corruptagenda/status/1400261603057049601,"@davidbewart The National party are only there for mining interests, remember the drought and bushfires and now the trade war with China that they support[]",English
3748,1.17e+18,,2021-04-20 21:08:22+00:00,"['insuranceclaims', 'firedamage', 'flooddamage', 'waterdamage', 'winddamage', 'stormdamages', 'ownership', 'tornadoes', 'floods', 'hurricanes', 'insurancecompany', 'insuranceloss', 'securetheproperty', 'lawyer']",Twitter,,https://twitter.com/SDamages/status/1384531896852381696,Damages to your Home! We are here working for you!  Give us a call! ☎️ (833) 672-5246👈  #Insuranceclaims #FireDamage #FloodDamage #WaterDamage #WindDamage #stormdamages #ownership #tornadoes #floods #hurricanes #InsuranceCompany #insuranceloss #securetheproperty #lawyer  https://t.co/4dkIbRI7a2['https://pbs.twimg.com/media/EzbYaGsUYAUYWYY.jpg'],English
3446,1.12e+18,,2021-04-30 03:51:03+00:00,"['flood', 'flooding', 'floods', 'news', 'newsoftheworld', 'newsupdate', 'nachrichten', 'jesus', 'jesuschrist', 'jesussaves', 'jesusofnazareth']",Twitter,,https://twitter.com/GPatron119/status/1387894728465727491,God is Shaking the World !!! Biblical Events !!!  https://t.co/TIYZ8ZShkL via @YouTube  #Flood #flooding #floods #News #NewsoftheWorld #NEWSUPDATE #Nachrichten #Jesus #JesusChrist #JesusSaves #JesusOfNazareth[],English
3662,436627065.0,,2021-04-22 15:26:20+00:00,"['climate', 'somali', 'african', 'droughts', 'floods', 'ergo', 'news']",Twitter,,https://twitter.com/RadioErgo/status/1385170599002116098,"A conference on #climate change adaptation has convened in Jigjiga city of Ethiopia's #Somali region today.The conference, attended by representatives of horn and east #African governments will focus on the recurring #droughts and #floods caused by climate change.#ERGO #news[]",English
2679,1.4e+18,,2021-06-01 20:42:27+00:00,,Twitter,Jamaica,,@KaliHoochie I’m waiting for the floods of yes yes pick me pick me😂🍿,English
3467,39085195.0,,2021-04-29 16:15:06+00:00,"['floods', 'water', 'andes']",Twitter,,https://twitter.com/theGEF/status/1387719583772065793,"Droughts, #floods, & landslides have altered the balance of the #water cycle in Andean countries.  An initiative supported by @theGEF & @AgendaCAF seeks to build solid foundations to protect the future of water for the #Andes.  ⛰️ https://t.co/Zbqxi07leu  https://t.co/Wwhl93nENC['https://pbs.twimg.com/media/E0Irm3CXIAQQk8H.jpg']",English
2714,1.4e+18,,2021-05-30 16:28:38+00:00,,Twitter,Bolivia,,Flood @The_muzz1 timeliness with dad jokes. Don't ask why.  Just do it,English
